Gamma.1	Gamma.2	Npats	Duration	Drug.1	Drug.2
0	0	     1	1+-NA	Medroxyprogesterone acetate	Primidone
0	0	     1	1+-NA	Metoprolol	Rifampicin
0	0	     4	2.75+-2.87	Phenytoin	Ethinylestradiol
0	0	     1	1+-NA	Conjugated estrogens	Prednisolone
0	0	     1	1+-NA	Acitretin	Minocycline
0	0	     5	2+-1.41	Irbesartan	Drospirenone
0	0	     4	1.5+-0.58	Captopril	Drospirenone
0	0	     2	1+-0	Quinapril	Drospirenone
0	0	     3	3+-3.46	Phenytoin	Levonorgestrel
0	0	     1	1+-NA	Fluconazole	Quazepam
0	0	     1	1+-NA	Warfarin	Ketoprofen
0	0	     1	1+-NA	Ampicillin	Minocycline
0	0	     4	4.75+-5.19	Telmisartan	Drospirenone
0	0	     3	1+-0	Phenoxymethylpenicillin	Tetracycline
0	0	     1	1+-NA	Eplerenone	Ketoconazole
0	0	     1	2+-NA	Primidone	Prednisolone
0	0	     1	1+-NA	Phenylephrine	Rasagiline
0	0	     2	1+-0	Prednisolone	Estriol
0	0	     1	1+-NA	Betamethasone	Rifampicin
0	0	     1	1+-NA	Betamethasone	Warfarin
0	0	     1	1+-NA	Norethisterone	Rifampicin
0	0	     1	1+-NA	Griseofulvin	Ethinylestradiol
0	0	     2	1+-0	Ethinylestradiol	Pioglitazone
0	0	     2	8.5+-2.12	Warfarin	Ethinylestradiol
0	0	     1	4+-NA	Eprosartan	Drospirenone
0	0	     1	1+-NA	Warfarin	Prednisolone
0	0	     2	1+-0	Raloxifene	Ethinylestradiol
